"V1","KO","n","Definition"
"KO:K03164","K03164",1193,"TOP2; DNA topoisomerase II [EC:5.6.2.2]"
"KO:K14654","K14654",36,"RIB7, arfC; 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase [EC:1.1.1.302]"
"KO:K14713","K14713",36,"SLC39A7, KE4, ZIP7; solute carrier family 39 (zinc transporter), member 7"
"KO:K14773","K14773",36,"UTP23; U3 small nucleolar RNA-associated protein 23"
"KO:K14850","K14850",36,"RRP8; ribosomal RNA-processing protein 8 [EC:2.1.1.287]"
"KO:K15029","K15029",36,"EIF3L; translation initiation factor 3 subunit L"
"KO:K15174","K15174",36,"PAF1; RNA polymerase II-associated factor 1"
"KO:K15296","K15296",36,"NAPA, SNAPA, SEC17; alpha-soluble NSF attachment protein"
"KO:K15331","K15331",36,"TRMT2B, TRM2; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]"
"KO:K16368","K16368",36,"DGK1; diacylglycerol kinase (CTP) [EC:2.7.1.174]"
"KO:K17066","K17066",36,"MOX; alcohol oxidase [EC:1.1.3.13]"
"KO:K17261","K17261",36,"CAP1_2, SRV2; adenylyl cyclase-associated protein"
"KO:K18327","K18327",36,"REXO4, REX4; RNA exonuclease 4 [EC:3.1.-.-]"
"KO:K18914","K18914",36,"FDXR; adrenodoxin-NADP+ reductase [EC:1.18.1.6]"
"KO:K19200","K19200",36,"IAL; isopenicillin-N N-acyltransferase like protein"
"KO:K19306","K19306",36,"BUD23; 18S rRNA (guanine1575-N7)-methyltransferase [EC:2.1.1.309]"
"KO:K00130","K00130",35,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
"KO:K00235","K00235",35,"SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"
"KO:K00852","K00852",35,"rbsK, RBKS; ribokinase [EC:2.7.1.15]"
"KO:K01847","K01847",35,"MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]"
"KO:K01966","K01966",35,"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
"KO:K02739","K02739",35,"PSMB7; 20S proteasome subunit beta 2 [EC:3.4.25.1]"
"KO:K03126","K03126",35,"TAF12; transcription initiation factor TFIID subunit 12"
"KO:K03246","K03246",35,"EIF3I; translation initiation factor 3 subunit I"
"KO:K03635","K03635",35,"MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]"
"KO:K03979","K03979",35,"obgE, cgtA, MTG2; GTPase [EC:3.6.5.-]"
"KO:K04713","K04713",35,"SUR2; sphinganine C4-monooxygenase [EC:1.14.18.5]"
"KO:K05302","K05302",35,"SETD6; N-lysine methyltransferase SETD6 [EC:2.1.1.-]"
"KO:K05542","K05542",35,"DUS1; tRNA-dihydrouridine synthase 1 [EC:1.3.1.88]"
"KO:K05666","K05666",35,"ABCC2; ATP-binding cassette, subfamily C (CFTR/MRP), member 2"
"KO:K06990","K06990",35,"MEMO1; MEMO1 family protein"
"KO:K07019","K07019",35,"K07019; uncharacterized protein"
"KO:K10088","K10088",35,"OS9; protein OS-9"
"KO:K10268","K10268",35,"FBXL2_20; F-box and leucine-rich repeat protein 2/20"
"KO:K10295","K10295",35,"FBXO9; F-box protein 9"
"KO:K11226","K11226",35,"STE7; mitogen-activated protein kinase kinase [EC:2.7.12.2]"
"KO:K11309","K11309",35,"RTT109, KAT11; regulator of Ty1 transposition protein 109"
"KO:K11495","K11495",35,"CENPA; histone H3-like centromeric protein A"
"KO:K13291","K13291",35,"TUT; terminal uridylyltransferase [EC:2.7.7.52]"
"KO:K13993","K13993",35,"HSP20; HSP20 family protein"
"KO:K14168","K14168",35,"CTU1, NCS6; cytoplasmic tRNA 2-thiolation protein 1 [EC:2.7.7.-]"
"KO:K14333","K14333",35,"DHBD; 2,3-dihydroxybenzoate decarboxylase [EC:4.1.1.46]"
"KO:K14552","K14552",35,"NAN1, UTP17, WDR75; NET1-associated nuclear protein 1 (U3 small nucleolar RNA-associated protein 17)"
"KO:K14831","K14831",35,"MAK16; protein MAK16"
"KO:K15045","K15045",35,"RSAD2; radical S-adenosyl methionine domain-containing protein 2"
"KO:K15923","K15923",35,"AXY8, FUC95A, afcA; alpha-L-fucosidase 2 [EC:3.2.1.51]"
"KO:K17900","K17900",35,"ATG15, AUT5; lipase ATG15 [EC:3.1.1.3]"
"KO:K00474","K00474",34,"TMLHE; trimethyllysine dioxygenase [EC:1.14.11.8]"
"KO:K00652","K00652",34,"bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]"
"KO:K01199","K01199",34,"EGLC; glucan endo-1,3-beta-D-glucosidase [EC:3.2.1.39]"
"KO:K01456","K01456",34,"E3.5.1.52, NGLY1, PNG1; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase [EC:3.5.1.52]"
"KO:K01536","K01536",34,"ENA; P-type Na+/K+ transporter [EC:7.2.2.3 7.2.2.-]"
"KO:K02085","K02085",34,"APC; adenomatosis polyposis coli protein"
"KO:K02927","K02927",34,"RP-L40e, RPL40, UBA52; ubiquitin-large subunit ribosomal protein L40e"
"KO:K03107","K03107",34,"SRP68; signal recognition particle subunit SRP68"
"KO:K03138","K03138",34,"TFIIF1, GTF2F1, TFG1; transcription initiation factor TFIIF subunit alpha"
"KO:K03251","K03251",34,"EIF3D; translation initiation factor 3 subunit D"
"KO:K03850","K03850",34,"ALG10; alpha-1,2-glucosyltransferase [EC:2.4.1.256]"
"KO:K04508","K04508",34,"TBL1; transducin (beta)-like 1"
"KO:K05916","K05916",34,"hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]"
"KO:K06123","K06123",34,"AYR1; 1-acylglycerone phosphate reductase [EC:1.1.1.101]"
"KO:K08266","K08266",34,"MLST8, GBL; target of rapamycin complex subunit LST8"
"KO:K09404","K09404",34,"FOXK; forkhead box protein K"
"KO:K09788","K09788",34,"prpF; 2-methylaconitate isomerase [EC:5.3.3.-]"
"KO:K10872","K10872",34,"DMC1; meiotic recombination protein DMC1"
"KO:K11754","K11754",34,"folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]"
"KO:K13201","K13201",34,"TIA1, TIAL1; nucleolysin TIA-1/TIAR"
"KO:K13280","K13280",34,"SEC11, sipW; signal peptidase I [EC:3.4.21.89]"
"KO:K14194","K14194",34,"sdrC_D_E; serine-aspartate repeat-containing protein C/D/E"
"KO:K14301","K14301",34,"NUP107, NUP84; nuclear pore complex protein Nup107"
"KO:K14820","K14820",34,"BRX1, BRIX1; ribosome biogenesis protein BRX1"
"KO:K15084","K15084",34,"SLC25A16, GDA, LEU5; solute carrier family 25 (mitochondrial carrier protein), member 16"
"KO:K15272","K15272",34,"SLC35A1_2_3; solute carrier family 35 (UDP-sugar transporter), member A1/2/3"
"KO:K15289","K15289",34,"SLC35F5; solute carrier family 35, member F5"
"KO:K15430","K15430",34,"TRM11, TRMT11; tRNA (guanine10-N2)-methyltransferase [EC:2.1.1.214]"
"KO:K17908","K17908",34,"WIPI1_2, ATG18; autophagy-related protein 18"
"KO:K19704","K19704",34,"PTC1; protein phosphatase PTC1 [EC:3.1.3.16]"
"KO:K00026","K00026",33,"MDH2; malate dehydrogenase [EC:1.1.1.37]"
"KO:K00365","K00365",33,"uaZ; urate oxidase [EC:1.7.3.3]"
"KO:K00685","K00685",33,"ATE1; arginyl-tRNA---protein transferase [EC:2.3.2.8]"
"KO:K00965","K00965",33,"galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
"KO:K01198","K01198",33,"xynB; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
"KO:K01759","K01759",33,"GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]"
"KO:K02564","K02564",33,"nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]"
"KO:K02727","K02727",33,"PSMA3; 20S proteasome subunit alpha 7 [EC:3.4.25.1]"
"KO:K02865","K02865",33,"RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae"
"KO:K02871","K02871",33,"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
"KO:K03136","K03136",33,"TFIIE1, GTF2E1, TFA1, tfe; transcription initiation factor TFIIE subunit alpha"
"KO:K03943","K03943",33,"NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2]"
"KO:K04486","K04486",33,"E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]"
"KO:K05609","K05609",33,"UCHL3, YUH1; ubiquitin carboxyl-terminal hydrolase L3 [EC:3.4.19.12]"
"KO:K06664","K06664",33,"PEX2, PXMP3; peroxin-2"
"KO:K06950","K06950",33,"K06950; uncharacterized protein"
"KO:K07512","K07512",33,"MECR, NRBF1; mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.- 1.3.1.38]"
"KO:K08254","K08254",33,"E3.2.1.59; glucan endo-1,3-alpha-glucosidase [EC:3.2.1.59]"
"KO:K08342","K08342",33,"ATG4; cysteine protease ATG4 [EC:3.4.22.-]"
"KO:K08739","K08739",33,"MLH3; DNA mismatch repair protein MLH3"
"KO:K08856","K08856",33,"STK16; serine/threonine kinase 16 [EC:2.7.11.1]"
"KO:K11315","K11315",33,"TADA3, ADA3, NGG1; transcriptional adapter 3"
"KO:K12178","K12178",33,"COPS4, CSN4; COP9 signalosome complex subunit 4"
"KO:K12275","K12275",33,"SEC62; translocation protein SEC62"
"KO:K12493","K12493",33,"ARFGAP2_3; ADP-ribosylation factor GTPase-activating protein 2/3"
"KO:K12584","K12584",33,"DCPS, DCS; m7GpppX diphosphatase [EC:3.6.1.59]"
"KO:K12763","K12763",33,"EFG1, SOK2; enhanced filamentous growth protein 1"
"KO:K14798","K14798",33,"LTV1; protein LTV1"
"KO:K14863","K14863",33,"WDR12, YTM1; ribosome biogenesis protein"
"KO:K14967","K14967",33,"BRE2, CPS60; COMPASS component BRE2"
"KO:K15201","K15201",33,"GTP3C3, TFC4; general transcription factor 3C polypeptide 3 (transcription factor C subunit 4)"
"KO:K15321","K15321",33,"WA; naphtho-gamma-pyrone polyketide synthase"
"KO:K15541","K15541",33,"MPE1; protein MPE1"
"KO:K16185","K16185",33,"RRAGA_B; Ras-related GTP-binding protein A/B"
"KO:K17819","K17819",33,"carD; beta-apo-4'-carotenal oxygenase [EC:1.2.1.82]"
"KO:K17979","K17979",33,"MDM31; mitochondrial distribution and morphology protein 31"
"KO:K18550","K18550",33,"ISN1; IMP and pyridine-specific 5'-nucleotidase [EC:3.1.3.99 3.1.3.-]"
"KO:K19308","K19308",33,"BMT6; 25S rRNA (uracil2843-N3)-methyltransferase [EC:2.1.1.312]"
"KO:K19676","K19676",33,"IFT172; intraflagellar transport protein 172"
"KO:K00022","K00022",32,"HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]"
"KO:K00074","K00074",32,"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
"KO:K00213","K00213",32,"DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]"
"KO:K00390","K00390",32,"cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]"
"KO:K00609","K00609",32,"pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
"KO:K00645","K00645",32,"fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
"KO:K00791","K00791",32,"miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]"
"KO:K00872","K00872",32,"thrB; homoserine kinase [EC:2.7.1.39]"
"KO:K01069","K01069",32,"gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]"
"KO:K01256","K01256",32,"pepN; aminopeptidase N [EC:3.4.11.2]"
"KO:K02738","K02738",32,"PSMB6; 20S proteasome subunit beta 1 [EC:3.4.25.1]"
"KO:K02991","K02991",32,"RP-S6e, RPS6; small subunit ribosomal protein S6e"
"KO:K03264","K03264",32,"EIF6; translation initiation factor 6"
"KO:K03847","K03847",32,"ALG12; alpha-1,6-mannosyltransferase [EC:2.4.1.260]"
"KO:K04459","K04459",32,"DUSP, MKP; dual specificity MAP kinase phosphatase [EC:3.1.3.16 3.1.3.48]"
"KO:K09043","K09043",32,"YAP; AP-1-like transcription factor"
"KO:K09241","K09241",32,"GAL4; transcriptional regulatory protein GAL4"
"KO:K10862","K10862",32,"TDP1; tyrosyl-DNA phosphodiesterase 1 [EC:3.1.4.-]"
"KO:K11108","K11108",32,"RCL1; RNA 3'-terminal phosphate cyclase-like protein"
"KO:K11137","K11137",32,"TELO2, TEL2; telomere length regulation protein"
"KO:K11237","K11237",32,"BEM1; bud emergence protein 1"
"KO:K11600","K11600",32,"RRP41, EXOSC4, SKI6; exosome complex component RRP41"
"KO:K11650","K11650",32,"SMARCD; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D"
"KO:K11664","K11664",32,"VPS72, TCFL1, YL1; vacuolar protein sorting-associated protein 72"
"KO:K12041","K12041",32,"SLC9A6_7, NHE6_7; solute carrier family 9 (sodium/hydrogen exchanger), member 6/7"
"KO:K12666","K12666",32,"OST1, RPN1; oligosaccharyltransferase complex subunit alpha (ribophorin I)"
"KO:K12669","K12669",32,"OST3, OST6; oligosaccharyltransferase complex subunit gamma"
"KO:K12670","K12670",32,"WBP1; oligosaccharyltransferase complex subunit beta"
"KO:K13796","K13796",32,"cobZ, tcuA; tricarballylate dehydrogenase"
"KO:K14315","K14315",32,"NDC1, TMEM48; nucleoporin NDC1"
"KO:K14399","K14399",32,"CLP1, HERB; polyribonucleotide 5'-hydroxyl-kinase [EC:2.7.1.78]"
"KO:K14782","K14782",32,"AATF, BFR2; protein AATF/BFR2"
"KO:K14801","K14801",32,"TSR4; pre-rRNA-processing protein TSR4"
"KO:K15078","K15078",32,"SLX1; structure-specific endonuclease subunit SLX1 [EC:3.6.1.-]"
"KO:K17615","K17615",32,"PPG1; serine/threonine-protein phosphatase PPG1 [EC:3.1.3.16]"
"KO:K17792","K17792",32,"TIM54; mitochondrial import inner membrane translocase subunit TIM54"
"KO:K17944","K17944",32,"PUF3; mRNA-binding protein PUF3"
"KO:K18203","K18203",32,"LCMT1; [phosphatase 2A protein]-leucine-carboxy methyltransferase [EC:2.1.1.233]"
"KO:K18579","K18579",32,"6GAL; galactan endo-1,6-beta-galactosidase [EC:3.2.1.164]"
"KO:K18757","K18757",32,"LARP1; la-related protein 1"
"KO:K00261","K00261",31,"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"
"KO:K01247","K01247",31,"alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"
"KO:K01280","K01280",31,"TPP2; tripeptidyl-peptidase II [EC:3.4.14.10]"
"KO:K01433","K01433",31,"purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]"
"KO:K01565","K01565",31,"SGSH; N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1]"
"KO:K01720","K01720",31,"prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]"
"KO:K02309","K02309",31,"DBF4; regulatory subunit for Cdc7p protein kinase"
"KO:K02729","K02729",31,"PSMA5; 20S proteasome subunit alpha 5 [EC:3.4.25.1]"
"KO:K02934","K02934",31,"RP-L6e, RPL6; large subunit ribosomal protein L6e"
"KO:K02967","K02967",31,"RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2"
"KO:K02984","K02984",31,"RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae"
"KO:K03434","K03434",31,"PIGL; N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89]"
"KO:K03510","K03510",31,"POLI; DNA polymerase iota [EC:2.7.7.7]"
"KO:K03678","K03678",31,"RRP45, EXOSC9; exosome complex component RRP45"
"KO:K03809","K03809",31,"wrbA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"KO:K03845","K03845",31,"ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]"
"KO:K03953","K03953",31,"NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9"
"KO:K05528","K05528",31,"OCH1; alpha 1,6-mannosyltransferase [EC:2.4.1.232]"
"KO:K05605","K05605",31,"HIBCH; 3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]"
"KO:K06127","K06127",31,"COQ5; 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.201]"
"KO:K06639","K06639",31,"CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]"
"KO:K06670","K06670",31,"SCC1, MCD1, RAD21; cohesin complex subunit SCC1"
"KO:K07114","K07114",31,"yfbK; Ca-activated chloride channel homolog"
"KO:K07542","K07542",31,"PIGV; GPI mannosyltransferase 2 [EC:2.4.1.-]"
"KO:K07905","K07905",31,"RAB11B; Ras-related protein Rab-11B"
"KO:K07941","K07941",31,"ARF6; ADP-ribosylation factor 6"
"KO:K08637","K08637",31,"CPA4; carboxypeptidase A4 [EC:3.4.17.-]"
"KO:K08860","K08860",31,"EIF2AK3; eukaryotic translation initiation factor 2-alpha kinase 3 [EC:2.7.11.1]"
"KO:K09660","K09660",31,"MPDU1; mannose-P-dolichol utilization defect 1"
"KO:K10426","K10426",31,"DCTN4; dynactin 4"
"KO:K10772","K10772",31,"APEX2; AP endonuclease 2 [EC:4.2.99.18]"
"KO:K10882","K10882",31,"EME1, MMS4; crossover junction endonuclease EME1 [EC:3.1.22.-]"
"KO:K11085","K11085",31,"msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]"
"KO:K11233","K11233",31,"SSK1; osomolarity two-component system, response regulator SSK1"
"KO:K11369","K11369",31,"RTG2; retrograde regulation protein 2"
"KO:K11372","K11372",31,"HIF1; HAT1-interacting factor 1"
"KO:K11426","K11426",31,"SMYD; [histone H3]-lysine4/36 N-trimethyltransferase SMYD [EC:2.1.1.354 2.1.1.357]"
"KO:K11768","K11768",31,"ARP9, SWP59; actin-related protein 9"
"KO:K11826","K11826",31,"AP2M1; AP-2 complex subunit mu-1"
"KO:K12826","K12826",31,"SF3A2, SAP62; splicing factor 3A subunit 2"
"KO:K12840","K12840",31,"RBM17, SPF45; splicing factor 45"
"KO:K13118","K13118",31,"DGCR14; protein DGCR14"
"KO:K13217","K13217",31,"PRPF39, PRP39; pre-mRNA-processing factor 39"
"KO:K13239","K13239",31,"ECI2, PECI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]"
"KO:K13336","K13336",31,"PEX3; peroxin-3"
"KO:K14191","K14191",31,"DIM1; 18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase [EC:2.1.1.183]"
"KO:K14411","K14411",31,"MSI; RNA-binding protein Musashi"
"KO:K15110","K15110",31,"SLC25A21, ODC; solute carrier family 25 (mitochondrial 2-oxodicarboxylate transporter), member 21"
"KO:K15160","K15160",31,"SIN4, MED16; mediator of RNA polymerase II transcription subunit 16, fungi type"
"KO:K15317","K15317",31,"APTA; asperthecin polyketide synthase"
"KO:K15339","K15339",31,"YEN1; holliday junction resolvase YEN1 [EC:3.1.-.-]"
"KO:K17775","K17775",31,"MDM34, MMM2; mitochondrial distribution and morphology protein 34"
"KO:K17807","K17807",31,"TAM41, MMP37; mitochondrial translocator assembly and maintenance protein 41"
"KO:K18162","K18162",31,"NDUFAF5; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]"
"KO:K19366","K19366",31,"SPG20; spartin"
"KO:K01489","K01489",30,"cdd, CDA; cytidine deaminase [EC:3.5.4.5]"
"KO:K01531","K01531",30,"mgtA, mgtB; P-type Mg2+ transporter [EC:7.2.2.14]"
"KO:K02830","K02830",30,"HRAD1, RAD17; cell cycle checkpoint protein [EC:3.1.11.2]"
"KO:K02875","K02875",30,"RP-L14e, RPL14; large subunit ribosomal protein L14e"
"KO:K02937","K02937",30,"RP-L7e, RPL7; large subunit ribosomal protein L7e"
"KO:K03238","K03238",30,"EIF2S2; translation initiation factor 2 subunit 2"
"KO:K03317","K03317",30,"TC.CNT; concentrative nucleoside transporter, CNT family"
"KO:K03466","K03466",30,"ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"
"KO:K03754","K03754",30,"EIF2B2; translation initiation factor eIF-2B subunit beta"
"KO:K03800","K03800",30,"lplA, lplJ, lipL1; lipoate---protein ligase [EC:6.3.1.20]"
"KO:K05765","K05765",30,"CFL; cofilin"
"KO:K07316","K07316",30,"mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]"
"KO:K07561","K07561",30,"DPH1, dph2; 2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]"
"KO:K10414","K10414",30,"DYNC2H, DNCH2; dynein cytoplasmic 2 heavy chain"
"KO:K10669","K10669",30,"TRPT1, TPT1; 2'-phosphotransferase [EC:2.7.1.160]"
"KO:K11517","K11517",30,"HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]"
"KO:K11770","K11770",30,"SFH1; chromatin structure-remodeling complex subunit SFH1"
"KO:K12194","K12194",30,"CHMP4A_B, SNF7, VPS32A_B; charged multivesicular body protein 4A/B"
"KO:K12308","K12308",30,"bgaB, lacA; beta-galactosidase [EC:3.2.1.23]"
"KO:K13335","K13335",30,"PEX16; peroxin-16"
"KO:K13719","K13719",30,"OTU1, YOD1; ubiquitin thioesterase OTU1 [EC:3.1.2.-]"
"KO:K14308","K14308",30,"NUP54, NUP57; nuclear pore complex protein Nup54"
"KO:K15731","K15731",30,"CTDSP; carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase [EC:3.1.3.16]"
"KO:K17053","K17053",30,"ABP140; tRNAThr (cytosine32-N3)-methyltransferase [EC:2.1.1.268]"
"KO:K17100","K17100",30,"DAS; dihydroxyacetone synthase [EC:2.2.1.3]"
"KO:K17560","K17560",30,"URI1; unconventional prefoldin RPB5 interactor 1"
"KO:K18573","K18573",30,"ICP55; intermediate cleaving peptidase 55 [EC:3.4.11.26]"
"KO:K19355","K19355",30,"MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
"KO:K00010","K00010",29,"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]"
"KO:K00260","K00260",29,"gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]"
"KO:K00411","K00411",29,"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
"KO:K00486","K00486",29,"KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]"
"KO:K00493","K00493",29,"XANG; xanthocillin biosynthesis cytochrome P450 monooxygenase [EC:1.14.-.-]"
"KO:K00618","K00618",29,"ARG2; amino-acid N-acetyltransferase [EC:2.3.1.1]"
"KO:K00766","K00766",29,"trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]"
"KO:K00837","K00837",29,"ISS1, VAS1; aromatic aminotransferase [EC:2.6.1.-]"
"KO:K00936","K00936",29,"pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]"
"KO:K01102","K01102",29,"PDP; pyruvate dehydrogenase phosphatase [EC:3.1.3.43]"
"KO:K01240","K01240",29,"URH1; uridine nucleosidase [EC:3.2.2.3]"
"KO:K01501","K01501",29,"E3.5.5.1; nitrilase [EC:3.5.5.1]"
"KO:K01593","K01593",29,"DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]"
"KO:K02136","K02136",29,"ATPeF1G, ATP5C1, ATP3; F-type H+-transporting ATPase subunit gamma"
"KO:K02867","K02867",29,"RP-L11, MRPL11, rplK; large subunit ribosomal protein L11"
"KO:K02872","K02872",29,"RP-L13Ae, RPL13A; large subunit ribosomal protein L13Ae"
"KO:K03256","K03256",29,"TRM6, GCD10; tRNA (adenine58-N1)-methyltransferase non-catalytic subunit"
"KO:K03294","K03294",29,"TC.APA; basic amino acid/polyamine antiporter, APA family"
"KO:K03351","K03351",29,"APC4, ANAPC4; anaphase-promoting complex subunit 4"
"KO:K03521","K03521",29,"fixA, etfB; electron transfer flavoprotein beta subunit"
"KO:K03927","K03927",29,"CES2; carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56]"
"KO:K05531","K05531",29,"MNN10; mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]"
"KO:K08192","K08192",29,"DAL; MFS transporter, ACS family, allantoate permease"
"KO:K08287","K08287",29,"E2.7.12.1; dual-specificity kinase [EC:2.7.12.1]"
"KO:K08294","K08294",29,"MKK1_2; mitogen-activated protein kinase kinase [EC:2.7.12.2]"
"KO:K08489","K08489",29,"STX16; syntaxin 16"
"KO:K11979","K11979",29,"UBR7; E3 ubiquitin-protein ligase UBR7 [EC:2.3.2.27]"
"KO:K12872","K12872",29,"RBM22, SLT11; pre-mRNA-splicing factor RBM22/SLT11"
"KO:K13366","K13366",29,"MPAO, PAO1; polyamine oxidase [EC:1.5.3.14 1.5.3.16 1.5.3.-]"
"KO:K13800","K13800",29,"CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.14]"
"KO:K14016","K14016",29,"UFD1; ubiquitin fusion degradation protein 1"
"KO:K14334","K14334",29,"CMLE; carboxy-cis,cis-muconate cyclase [EC:5.5.1.5]"
"KO:K14785","K14785",29,"ESF2, ABT1; ESF2/ABP1 family protein"
"KO:K14862","K14862",29,"URB2; nucleolar pre-ribosomal-associated protein 2"
"KO:K14997","K14997",29,"SLC38A11; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 11"
"KO:K15275","K15275",29,"SLC35B1; solute carrier family 35 (UDP-galactose transporter), member B1"
"KO:K15356","K15356",29,"VRG4, GONST1; GDP-mannose transporter"
"KO:K15427","K15427",29,"SIT4, PPH1; serine/threonine-protein phosphatase PP1-1 [EC:3.1.3.16]"
